Status,,,,,,,
RT @HCAhealthcare: While all Americans are working to #FlattenTheCurve,,,,,,,
RT @WannasWorld: Wait. Wait a damn minute. The U.S is shameless., need to push local and state authorities to release as many people…,,,,,,
Meet the public health detectives working around-the-clock to stop the spread of COVID-19, please? https://…,,,,,,
https://t.co/fI6AF3Xy4A https://t.co/MxTIhii0bd,,,,,,,
Easter Camping in Parks Will Be Prohibited; COVID-19 Case Count Shoots to 140 — San Antonio Sentinel - News,,,,,,,
RT @IMFNews: Economic policy during this crisis has three objectives: Guarantee the functioning of essential sectors; Provide enough resour…, a total of 195,524 people have been tested of which…,,,,,
@TMZ Before Covid,,,,,,,
Scotland is a devolved Govt.,,,,,,,
🖋 Support Theresa by signing “Keep me safe. Enforce mask usage.” and I’ll deliver a copy to your officials too:… https://t.co/z8GVjy2YFp,,,,,,,
RT @SPE_OAU: We are always thinking about our members and their technical development. This COVID-19 isolation break is unavoidable,,,,,,,
RT @JKSSBTEACHERS: Our youth needs a good news that is the revocation of SRO 202 in midst of the crisis caused by Covid19. This will end th…,,,,,,,
RT @shoutgracegrace: Scarborough Loses COVID Blame Game as Video Shows Own Guest Telling Us Not To Be Overly Concerned https://t.co/jcl64x2…,,,,,,,
@danielmedwed Thanks @danielmedwed.  We pushed these cases for many years. Covid-19 can turn our clients sentences… https://t.co/g89gadLcQa, it doesn't discriminate on the basis of religion, caste, rich or poor, we shouldn't either. What hap…,,,
9pm 9 minute this fight against COVID-19 🙏 thank u modi Ji Jai Bjp Jai Modi Ji, food, clothing, other aid a…,,,,
Of course it will,,,,,,,
#shameonus ,,,,,,,
.@HHS_ASH @JeromeAdamsMD – As of yesterday,,,,,,,
RT @IvankaTrump: Farmers Feed America! ,,,,,,,
Thank you to all the nation’s unsung heroes! 🇺🇸,,,,,,,
Discussion about COVID-19 non-scientific origins considered harmful https://t.co/4AqSAOYw6U,,,,,,,
RT @lewoofl: @kylegriffin1 Trumps family is also profiteering off coronavirus testing. Trump promoted their company pandemic products in a…,,,,,,,
RT @SpeedBird_NCL: Airlines Spot Revenue Opportunity And Use Their Passenger Aircraft To Ship Urgent Cargo:, the surgeon general tells Chris Wallace.,,,,,,
https://t.co/ZzqP2cXhn7,,,,,,,
#Aviati…, RETWEET , &amp; DM ME 🤍🙏🏽 https://t.co/…,,,,,
China lied and people died. China must be held accountable!!,,,,,,,
RT @melabklyn: @SethAbramson This link may be better. ,,,,,,,
https://t.co/af44vrNSko,,,,,,,
We know that it is an underestimation.," broken"" tests from the  Obama administration.",,,,,,
https://t.co/KjLcNCP1mz,,,,,,,
We stand united as a nation and support our PM in our collective fight against Covid-19.......... 9.05 PM https://t.co/ETxexDJMUT,,,,,,,
RT @Aahmedbq: It has been 1 year,,,,,,,
RT @Nanavati_H: Our first Covid-19 patient made full recovery at @Nanavati_H within 8 days and was discharged on Friday., let alone his lack of any early attempt…,,,,,,
We appreciate the…,,,,,,,
RT @saralivadeas: Care homes are helping in the effort to free up NHS beds for COVID patients. We need the NHS to help residential care hom…, we all need to make and we… https://t.co/UfyTVx00Gv,,,,,,
RT @SSG_PAIN: From CDC Website: ⚡,,,,,,,
"Hospitals to List COVID-19 as Cause of Death Even if It's ""Assumed to Have Caused Or Contributed to Death…",,,,,,,
Sri Lanka innovation - team builds an Isolation Pod that can be used for transporting #Covid19 patients., and we also have been waiting for this good news so…,,,,,,
RT @vik_doctor: @PMOIndia @narendramodi ,,,,,,,
Doctors are your soldiers in white coats fighting Covid19 pandemic. If you can't keep them safe fr…,,,,,,,
First journalist in line to ask a question tomorrow at the daily briefing. Some of these questions are ridiculous.… https://t.co/CVjdecpwZx,,,,,,,
@RonnytheT Watch this...,,,,,,,
https://t.co/yk9GZl9kFh, even though it was declared a national emergency in about a week while… https://t.co/B9Wc3eD3dC,,,,,,
@narendramodi  All indians are together to fight with COVID-19 . We all are salute to doctors , Zell…,,,,,,
Not the Rihanna ones. Others from another philanthropist,,,,,,,
@TpHolbrook you stay in your bone headed Covid germ pit of an air polluted concrete jungle and we'll be just fine u… https://t.co/dQz0jxaGU9,,,,,,,
RT @DemsOfOkaloosa: While the COVID-19 crisis pushes on the administration policy machine continues to eat away at policies designed to pro…,000 visits a week.,,,,,,
RT @USEmbassyKyiv: Ukraine introduced stricter measures to prevent the spread of COVID-19 that will take effect April 6. ,,,,,,,
📧 KyivUSCitizen@s…,,,,,,,
RT @Nish70574141: Well done India,,,,,,,
Two working papers about the impact of COVID-19 just came out. https://t.co/0Ltv6LFfvz https://t.co/Is2V6b0oIt https://t.co/qPCCsMwaNP,,,,,,,
We must wear a mask. That’s the way to go back to “normal” life.,,,,,,,
Google Searches Can Help Us Find Emerging Covid-19 Outbreaks by BY SETH STEPHENS-DAVIDOWITZ https://t.co/WYJ7Qqlxkn https://t.co/3yO1LGFYZA,,,,,,,
@HondaRacingCBR @hcpgroup1 @hcpmoto - Healthcare Professionals(HcP) sponsor @DannyWebb99 . Our NHS staff are on the… https://t.co/E0ZWaZM2pw,,,,,,,
"RT @Dara_bhur_gCara: @DarrenEuronews @MattHancock ""Man who displays Covid-19 symptoms", have switched off the lights…,,,,,,
#SsangYong #Ireland #socialdistance #COVID19 #SUV… https://t.co/6cEhZa4k0i,,,,,,,
@HolitoSwu This was expected.. We’re re in fact fighting two kinds of pandemic at the moment. Covid-19 &amp; stupidity 🤦🏻‍♂️,,,,,,,
RT @DavidHamer_1951: Covid-19 cases,,,,,,,
🇺🇸USA:,,,,,,,
941,,,,,,,
🇨🇦Canada: ,,,,,,,
371,,,,,,,
🌎 ,,,,,,,
155 &amp; 8.…,,,,,,,
RT @foreskinflakes: please turn of all electronics!✨,,,,,,,
*switches off life support*, 4 U not someone else 4 a different reason. If U don't h… https://t.co/ZBEBb2TD1b,,,,,,
RT @kyalnotkyle: Sadly on 26th March I lost my mum due to issues with her health.. nothing COVID-19 related.,,,,,,,
Been a difficult week and it’s…, and with such different results for each?,,,,,,
@medicalaxioms Thank G*d somebody is finally parsing this down to the lowest common denominator in US political lif… https://t.co/vfH0PxZEW3,,,,,,,
Well done @jidesanwoolu you are providing great leadership In the face of this #Coronavirus and I must commend you.… https://t.co/aYrmSFuQWW,,,,,,,
@PMOIndia @AmitShah ,,,,,,,
By lighting lamps the whole world proved that we all were together and fight against #covid19.… https://t.co/68gXh5GjFN,,,,,,,
Good new,,,,,,,
RT @Bakari_Sellers: Deception. Let’s talk about deception....,,,,,,,
Goodnews!,,,,,,,
RT @RecoveryCOA: #Alcohol sales have been increasing during the outbreak of #COVID19. , I…,,,,,,
https://t.co/ICTQ5AEsmt,,,,,,,
The CONTENT is unmatched,,,,,,,
@WilliamRobertWo @Beckweth @paulsperry_ I live in rural King Co. WA,,,,,,,
#Morocco to release over 5,,,,,,,
19 spread,,,,,,,
#GeoNews,,,,,,,
RT @csthetruth: Undeniable Evidence that Jason Bermas is a Liar &amp; Social Engineer Gaslighting the World on Covid-19 https://t.co/Gmmo6lbqmk,,,,,,,
Our little contributions to our nations unity and also solidarity towards our frontline warriors fighting against c… https://t.co/CuT2RN7ndd,,,,,,,
RT @adamjohnsonNYC: My new favorite talking point is “if single payer healthcare doesnt magically stop viruses it’s not worth having in the…, so advising p… https://t.co/rj0wfh3DEU,,,,,,
@MiloVentimiglia first TSA agent has passed away because of COVID-19. He was an essential worker and died doing wha… https://t.co/knwyWuoXC4,,,,,,,
RT @ISSA_ECD: Excellent set up for sharing resources from @innatepromise . ,,,,,,,
Check out a curated space for resources, former commanding officer of USS Theodore Roosevelt, has tested positive for Covi…,,,,,
@JoeySalads @NYGovCuomo Meanwhile,,,,,,,
https://t.co/tBNtLIFhbG,,,,,,,
"RT @Just_ThePo: An answer of ""I can't recall"" is a duck &amp; dodge answer.  If you REALLY can't recall something as important from the Nat'l C…",,,,,,,
@Pbhajanka Hi,,,,,,,
RT @DoctorEmto: So this will be my first tweet on it.,,,,,,,
COVID test kits will be available soon and I intend to have 1 million people tested…,,,,,,,
RT @_BrendaGale: Listening to daily update from voice of reason and intelligence @NYGovCuomo #AndrewCuomo update! No need to wait for #stup…, can we now expect the number of people being tested for #COVID19 to increase? #TestKaroNa,,,,,,
RT @nypapajoe: Inside the ICU of a Brooklyn hospital,,,,,,,
Open your windows – and four other ways to improve the air quality at home,,,,,,,
#COVID19 #Lockdown, have switched off the lights…,,,,,,
https://t.co/FB6poAeLNz,,,,,,,
RT @IAF_MCC: #HarKaamDeshKeNaam: Indian Air Force is always committed to the service of the Nation. In continuation of its efforts to suppo…,,,,,,,
RT @ARYNEWSOFFICIAL: China lauds Pakistan’s support in fight against #COVID-19  , in purview of COVID-19, we are currently operating at reduced strength. We might take a little lo… https://t.co/zuHHUH9yzJ,,,,,
#ARYNews, cases climb to 3,577,,,,,
https://t.co/eC1R2jqRjJ,,,,,,,
RT @Minxy2424: @JeromeAdamsMD @soledadobrien I have no medical degree but even I could see in JANUARY that COVID-19 was very serious based…,,,,,,,
RT @cowgrl_KT: If you have tested positive for COVID-19 and have recovered and have either since gotten a negative test result or have gone…,,,,,,,
RT @chunkbardey: i’m like 90% feeling better after having covid,,,,,,,
Should have read COVID-19 - sorry,,,,,,,
Calling #datascientists Data science #hackathon #COVID19 #hackthecrisis #alberta , have switched off the lights…,,,,,,
https://t.co/EEH24IWemG,,,,,,,
I’m going back to London today I will not get covid-19 not on my WATCH I will be wearing a mask and sanitizing ever… https://t.co/BYeHuw7u4n,,,,,,,
RT @malini_aisola: Notice just issued by @CDSCO_INDIA_INF regarding Bione https://t.co/sq9VfIyEFr,,,,,,,
RT @nolte_dean: Excellent point @sallymcmanus after the covid19 pandemic we need to ask what is casual employment,,,,,,,
@EconguyRosie Great points. Any updates of the Covid crisis on USD corporate debt in Asia as the currencies there c… https://t.co/ljPe9oXPrg,,,,,,,
RT @Warwickshire_CC: To limit the spread of #Covid19,,,,,,,
@wowisme4159 @rww_gop @washingtonpost SÍMBOLO MUNDIAL DE COVID-19,,,,,,,
A ray of hope and belief can brighten the darkest times,,,,,,,
RT @CrockettLibby: @GovRicketts in 1 week we have gone from 3 confirmed #COVID19 cases to 41,,,,,,,
Open invite to convert people? 🤔,,,,,,,
#FlattenTheCurve - check! ,,,,,,,
Keep the curve flat by asking large numbers of people to make big sacrifices for a long… https://t.co/hosuqnEzYU,,,,,,,
What about fire crackers??, have switched off the lights…,,,,,,
RT @CovidAidNG: TVC coverage of our activities on day 1 #COVID19 #CovidAid https://t.co/BdaPfPNQqX,,,,,,,
Hello it's 82 not 100. Pappu ke chamcha badha chadhake bolte hai.Atleast it's not 7k death like in US &amp; 10k in Ital… https://t.co/2hgcqat4Lx,,,,,,,
RT @Zinvor: Photo taken on the streets of Yerevan of a banner that says “Everything will be fine” in Armenian and Persian in solidarity wit…,,,,,,,
Dial *260# to report a case or request for a COVID-19 test., states do have substantial indpendent power, even in the face of a virus that doesn't recognize (d…,,,,,
 #stayhome #STAYSAFEUG @MinofHealthUG @ainbyoo… https://t.co/hnxrZkpcZr,,,,,,,
RT @TuurDemeester: Let's compare periods 1917-1918 (Spanish Flu) with 2019-2020 (Covid-19) for the US. Clearly something more is going on t…,,,,,,,
RT @Crof: #COVID19: Finland,,,,,,,
RT @Leighforusa1: 🔥 China is appointed to the UN Human Rights Council!,,,,,,,
🔥 A Regime that is OPPRESSIVE to their own people &amp; lied about COVI…, Italy, Spain, France, US. Clinical trials on its possible cure must start…,,,
@yanks2derek @mgrant76308 To keep them separated I'm guessing,,,,,,,
Oh someone else is getting fired. How on Warth do you can a guy for saying you have an outbreak on a ship and the C… https://t.co/zOLAGGDW9T,,,,,,,
RT @randell_young: @MichaelCoudrey Maybe one positive of CoVid19 will be an investigation of how Big Pharma (and their shills at the FDA,,,,,,,
RT @Senior_Davi1r: Due to #COVID19 aka #Coronavirus Ill be sending the first 50 people to like &amp; retweet this $600 each through CashApp and…, have switched off the lights…,,,,,,
RT @devisridhar: 👇 this will destroy economy &amp; society &amp; result in heavy pressure on NHS for covid &amp; non-covid medical care. It is not easy…,,,,,,,
RT @hkumed: Have questions about the #SARSCoV2 virus and the #COVID19 disease?, we’d already have evidence for t…,,,,,,
Submit your questions to Prof John Nicholls of @hkumed by t…,,,,,,,
RT @Sthomas_inc: Tomorrow Newspaper and media Headlines,,,,,,,
All CoronaVirus in #India k#illed by Modiji plan on 5 the April 9:09 PM,,,,,,,
Lighting…, meningitis, shingles,… https://t.co/6hj8v4wssI,,,,
Access to all available information and resources about COVID-19 in Canada,,,,,,,
Coronavirus disease… https://t.co/msSPQuDIBE, of which seven are in Bojanala Platinum District. K…,,,,,,
Legit about to get a #Covid19 stay at home master’s in economics.,,,,,,,
Nigerians blast Funke Akindele for hosting party amidst COVID-19 lockdown https://t.co/0z59idSLeh,,,,,,,
Smile in our faces.... Air of positivity.... My deepest love ND gratitude to all the doctors,,,,,,,
RT @globalnews: According to the Public Health Agency of Canada, when did Angela Rayner get appointed as the Chief Medical Officer? Did I miss that memo?,,,,,,
RT @GovHolcomb: The additional funds are intended to help Hoosiers obtain food and support for their families while Indiana responds to the…,,,,,,,
RT @PearseDoherty: Revenue should not make it easier for the ultra wealthy to avoid taxes here by relaxing the  183-day rule on tax exiles.…, more delusion, and zero exposure to public policy.,,,,,
RT @sidhant: From Tokyo: Indian Community switch off lights,,,,,,,
#COVID https://t.c…, have switched off the lights…,,,,,,
RT @birdysinging: In Malaysia, packaged &amp; delivered by ma…,,,,,,
RT @amberlee820: stay home or you will be sent home 👼🏼, blunt, sobering but also optimistic. He tells us things that can…,,,,,
Covid 1:9,,,,,,,
AI runs smack up against a big data problem in COVID-19 diagnosis https://t.co/tngj3DxXrM via @ZDNet &amp; @TiernanRayTech,,,,,,,
Never Forget the Horror #PizzaGate #TonyPodesta  #TheGreatAwakeningWorldwide  @realDonaldTrump @FLOTUS,,,,,,,
RT @medicalaxioms: After the dust settles, have switched off the lights…,,,,,,
RT @ThisIsJCali: @plastiquetiara SLAYINGGG IT! &amp; serving FACE✨ Tonight’s @WerqTheWorld LIVE Stream fundraised for local Drag Queens affecte…,,,,,,,
RT @3days3nights: [They] always have several “naughty” countries that they use to foster war and chaos globally. I expect COVID will weaken…, the start of Holy Week. As we reflect on the events that lead up to Jesus dying on the cross, I r…,,,,,
RT @FUB_BW: National Team player  Kabelo Seakanyeng talking Covid-19 https://t.co/wyZYmTbgyS,,,,,,,
RT @CarolLeonnig: BREAKING:  Trump reverses course ** the second time today ** in authorizing the Defense Production Act to compel manufact…,,,,,,,
RT @DrTonyLeachon: Who do I want to be during COVID - 19 ? #FlattenTheCurve https://t.co/IdppddOEHo,194, but the number of DAILY deaths has…,,,,,
RT @IGSquawk: NY reports its first daily decline in Coronavirus cases,,,,,,,
#DOW 21064 -0.04%,,,,,,,
#COVID19 #IGWeekendMarkets,,,,,,,
"RT @friedberg: i dont think this paper is getting enough airtime. theorizes how and why coronavirus reduces blood O2 and causes ""crushed gl…",,,,,,,
What’s intriguing to me is the timing of this breakout. Trade war,,,,,,,
RT @sureshlal: @MrGardenia @NickiStern @MarkMarpMark @JoeySalads @WashTimes Lot of people won't like what I'm going to write. Covid19 or mu…, during Covid Lockdown. https://t.co/JsFjrBKh5T,,,,,,
@ABPNews #Healthy&amp;United #India angainest fighting with COVID19.....⛑️💊💉🎗️  #StayHome #StaySafe 🙏🙏😇😇 https://t.co/qHPGoke4UD, one of our most eminent health scientists did a presentation to the Wits council on Friday afternoon. His present…,,,,,,
RT @Sunil_Deodhar: Today the entire world including India is fighting against #COVID19, desks, phones, tablets, &amp;…,,,
#I wanna thank Dear Prime minister @narendramodi ji for making this day so #memorable as I have never celebrated my… https://t.co/Dhf8thOR3q,,,,,,,
@nytimes @atmccann @jwf825 FYI:,,,,,,,
The UK has more than twice the death-rate with #Covid19 that in New York.,,,,,,,
That's wh… https://t.co/BYA9Z8lb5H,,,,,,,
@mcelderrytruth Or you could follow the guidance published here: https://t.co/HQZMgPguqP,,,,,,,
Which specifically says y… https://t.co/iKC3puXggl,,,,,,,
RT @TheTorontoSun: Over 2,,,,,,,
RT @tmprowell: Impressive pre-proof of in vitro &amp; cell culture data provides rationale for #clinicaltrials repurposing ivermectin,,,,,,,
Tripod,,,,,,,
US Empire Exploits COVID-19 For More War https://t.co/1FFDMElP1T #April 5, yesterday I announced the discharge of one more patient from our Infectious Disease Hospital, Yaba. ,,,,,
RT @frankdonga_: Wawu,,,,,,,
RT @realident: Watching @NYGovCuomo I see he gets it. He can organize and carry out plans,,,,,,,
Is she tho?, arthritis, other conditions are *already* on hydroxychloroquine.,,,,,
RT @TomJChicago: Trump’s Spring 2020 COVID-19 Dementia Tour is setting new records daily. A show stopper just ended. Like the Spiral Starec…,,,,,,,
@RanaAyyub She is sick with virtual COVID-19. Spitting on all good things happening around. Get well soon.,,,,,,,
RT @KlasfeldReports: Michael Avenatti’s court filing in California requesting bail to protect himself from the Covid-19 pandemic contains i…,,,,,,,
RT @kenolin1: This works! It’s really easy,,,,,,,
@pragmatic_texan #COVID19 as mandated by the #CDC,,,,,,,
#9pmDiwaliAtABP, have switched off the lights…,,,,,,
Small Warrior of COVID-19 from Nawada, Margaret, would be a false statement. We are struggling to get it under…,,,,,
The vaccine dealer who has been promising the world a pandemic that would kill millions of people now says everyone… https://t.co/JpI8IEmhXT, can we now expect the number of people being tested for #COVID19 to increase? #TestKaroNa,,,,,,
RT @salavath_naresh: #india fights against covid-19 https://t.co/WVIOcOchDJ,,,,,,,
5 April: #Coronavirus in #Italy Update,,,,,,,
-4, se informó q ayer se reportaron:,,,,,,
 - 681 Deaths ,,,,,,,
-124, economy and Covid-19 situation makes it i…,,,,,,
RT @business: India banned all exports of hydroxychloroquine,,,,,,,
Joined @jillianmele,,,,,,,
Is this not terrorism?,,,,,,,
@Keir_Starmer @EdwardJDavey @Ianblackford_MP @LSRPlaid @CarolineLucas,,,,,,,
You should all read this piece carefully,,,,,,,
RT @cravecreative: Surprise! The Media lies again. ,,,,,,,
This time the story about Trump denying Canada 3M supplies is a bunch of bullshite. Can…,,,,,,,
RT @DUYAformhell: @guypbenson @HandtevyMD @seanmdav I suspected last year's outbreak of e-cigarette pneumonia and an unknown pneumonia in n…,,,,,,,
Does Corona Virus Live 25 to 30 Hours on a Leaf Card?,,,,,,,
Ahmedabad, helping the poor and needy, emphasising on social distancing…,,,,,
The disease caused by the c… https://t.co/9e4RMX6Kii, keep praying, stay safe, stay healthy! ,,,,
With great sadness and profound sorrow,,,,,,,
RT @worddicted: So it is due to tablighi jammat that we have the current scenario of covid-19 cases in india just like how all the infected…, yesterday I announced the discharge of one more patient from our Infectious Disease Hospital, Yaba. ,,,,,
This is happening all over the world.  These victims,,,,,,,
RT @JamelTheCreator: Black people are disposable to health care professionals. https://t.co/3436OROY10,,,,,,,
RT @Branbeast_: This is wild,,,,,,,
RT @AlexMaslen: @jk_rowling Royal Bournemouth Hospital using the HP house system to keep patients safe during the COVID pandemic! Bringing…, former commanding officer of USS Theodore Roosevelt, has tested positive for Covi…,,,,,
RT @antonioguterres: #COVID19 is not only a challenge for global health systems,,,,,,,
On Sunday's Intern…,,,,,,,
RT @AgentP22: If this isn't a sackable offence,,,,,,,
https://t.co/71RyM0wfHS,,,,,,,
RT @SXMProgress: &gt; #SouthKorea has more freedom than we do in the US &amp; is ahead of the #Covid19 curve. What rights did they give up for pub…,,,,,,,
Rate of doubling of COVID-19 cases is 4.1 days; without Jamaat incident it would have been 7.4,,,,,,,
RT @johnwbartlett: @DrChristineMann Folks, who then…,,,,,,
RT @strytellrofpast: It's getting scarier 🙏🙏🙏😥, that is EXACTLY the kind of thing that could so easily slip one’s mind. https://t.co/Nlj5eyJHFm,,,,,,
@kerpen I've been down this data hole myself. My family had the dec/jan flu. I was the only one who didn't contract… https://t.co/4V9r741Yfl,,,,,,,
RT @Asifbhamlaa: #9बजे9मिनट  ...अंधकार से प्रकाश की ओर... with my family I join the Nation in this movement of illuminating Diyas to expres…,,,,,,,
RT @ConeyIslandHosp: Heroes salute heroes. Thank you to the @FDNY for saluting our #HealthcareHeroes today. It was incredible! Photos by Ja…, can we now expect the number of people being tested for #COVID19 to increase? #TestKaroNa,,,,,,
@johncardillo Sadly true, House keeping staff of AIIMS, Bhubaneswar who removed all the biomedical waste from Covid19 wards a…,,,,,
RT @Abhishe39610987: Go covid..... https://t.co/7e6dQtqyb7,,,,,,,
I mean,000 New Yorkers have signed up for the City’s #COVID19 text notification system! To sign up:,,,,,,
RT @Suntimes: Officials announced Sunday that a second inmate at Stateville Correctional Center has died of COVID-19. https://t.co/EXPnaxfP…,,,,,,,
RT @nytimesworld: Finland,,,,,,,
What does your race have to do with this pandemic? https://t.co/1XkOTgDgtN, Spain, France to Germany by Germany for intensive care treatment. EU nations are…,,,,,
@jaketapper How about MSM stop the fake news and the fear mongering! @realDonaldTrump has always said we need to be… https://t.co/rKKcPtc6Eb, using comparable causation standards, than the Asian Flu or Hong…,,,,,
RT @MazenGharibah: Some public hospitals in #Damascus are chargine patients ~50-150$ to take the tests or to prioritize their files. Army a…, can we now expect the number of people being tested for #COVID19 to increase? #TestKaroNa,,,,,,
Stockwell delivers 🍺 🍻,,,,,,,
RT @kyrstensinema: Amazing @Uarizona researchers are developing a test that can detect coronavirus in people without symptoms. Thank you fo…,,,,,,,
RT @downi75: Prisoner dies in cell,,,,,,,
RT @UNFPARwanda: Also Life-saving care and support to gender-based violence survivors,,,,,,,
RT @bonitaonsafari: My aunty passed away the other day. The government gave us 48hours to bury her in a one hour ceremony.  We are in the h…,,,,,,,
A few days later than April 3, yesterday I announced the discharge of one more patient from our Infectious Disease Hospital, Yaba. ,,,,,
Please be sure to also thank some of the little peop… https://t.co/lsqcCS9VL6,,,,,,,
RT @nouni54: @narendramodi  let's fight again covid 19 we are united, and while most Americans are social distancing at home they're being fo…,,,,,,
Most of our diverse interactions in non-structured environments take place during lunch or breakfast. People see mo… https://t.co/KOcoob00nN,,,,,,,
Coronavirus: Pentagon ‘can’t recall’ if US had intelligence about Covid-19 in 2019 https://t.co/64pnZZaZQG https://t.co/CWJmMScLpq, have switched off the lights…,,,,,,
@SCssgirl @Jeff66923777 @FoxNews @realDonaldTrump It's crazy my son has to work, it would be game over for Trump!,,,,,,
South Sudan Becomes the 51st Country in Africa With COVID-19 as It Confirms Its First Case https://t.co/ddqoHHQf9D,,,,,,,
Fear Propaganda displayed,,,,,,,
https://t.co/aDYqgIuNKG,,,,,,,
🖋 Support @alinslive by signing “Keep me safe. Enforce mask usage.” and I’ll deliver a copy to your officials too:… https://t.co/bSTRVTjmOL, @AFP reports. ,,,,,,
RT @UNESCO: Don't let #COVID19 quarantine limit your views!,,,,,,,
Forced to #StayAtHome but still capable of traveling without moving with a boo…,,,,,,,
ABC News’ Deborah Roberts examines the difference between allergy symptoms and those associated with the novel coro… https://t.co/xPh6ibUXIj,,,,,,,
Wonderful pic #9pm9minute  @narendramodi, can we now expect the number of people being tested for #COVID19 to increase? #TestKaroNa,,,,,,
RT @UNEP_CEP: Some of the top brands in the Dominican Republic,,,,,,,
Why the US will go back to the status quo:,,,,,,,
RT @theturner: Everyone go help StatsCan with their dataset on #COVID19 responses. 3 minutes of your time. Go  https://t.co/LoS8OA0H0k, have switched off the lights…,,,,,,
@ewarren @AyannaPressley Both from lingering conditions (higher diabetes rates,,,,,,,
🖋 Support John by signing “Keep me safe. Enforce mask usage.” and I’ll deliver a copy to your officials too:… https://t.co/oKbngwVkjd,,,,,,,
Why'd this dude say this as if we're all dropping like flies😭😭,,,,,,,
RT @StarAdvertiser: #Coronavirus at beaches? Surfers, have switched off the lights…,,,,,,
RT @PaulBrandITV: BREAKING: Another 621 deaths have been recorded from #covid19 in the UK., all from different households. How are people this stupid? #StayHomeSaveLives #COVID19,,,,,,
This means the number of recorded daily deaths…,,,,,,,
RT @DanScavino: AMAZING!!! Hopefully it brings some joy to those who have had a rough couple of weeks...,,,,,,,
Over 1,,,,,,,
How Covid-19 makes Fionnghula O'Reilly's Miss Universe duties and Nasa job trickier https://t.co/YJ4Q2xa2ov,,,,,,,
I am now an #MBRUCommunityImmunity Ambassador. I am responsible to protect myself and my community from #COVID-19.… https://t.co/NInVDAbjfw,,,,,,,
The federal government as well as the governors have been urged to be wary of corruption and make sure that the cov… https://t.co/BlTYsXDdDT,,,,,,,
@the_rxddest You’ll catch covid off the lake tho,,,,,,,
RT @AdamMilstein: Palestinian blood libels against Israel and Jews using blatant lies &amp; FAKE NEWS continues unabated,,,,,,,
RT @rizwanahmed: I hope all your friends and family are safe. Sending love to you all in this intense time.,,,,,,,
https://t.co/dRpqAAdNXr,,,,,,,
RT @BilsthorpeFha: Please have a listen to Lexi reading her diary entry about the situation we find ourselves in. #talented @FHTEnglish #vi…,,,,,,,
COVID-19: UBTH confirms three cases,,,,,,,
COVID-19 Claims the Lives of Three Jazz Greats | Smart News | Smithsonian Magazine https://t.co/x9NcM7rF2F, out in the country.… https://t.co/OJ3wsKxvjS,,,,,,
RT @petertimmins3: The UK was the most lethal place in the world yesterday.,,,,,,,
Anyone still thinking #BorisJohnson and the UK government have…,,,,,,,
RT @reason: The Chinese government is trying to tell everyone that it heroically stopped coronavirus. Instead of falling for it,,,,,,,
"Pandemi ""Hoaks"" Covid-19 https://t.co/6m2YeCDMLH https://t.co/d8bpd00v0F", have switched off the lights…,,,,,,
RT @JamaicaGleaner: The 140 Cuban health workers who arrived in Jamaica on March 21,,,,,,,
RT @COVIDNewsByMIB: #IndiaFightsCorona: , wilfully ignorant or b…,,,,,,
@ICMRDELHI issues an advisory to start rapid antibody based blood tests for #COVID19 in areas rep…,,,,,,,
RT @_timos_: Ensure pharma units work smoothly amid Covid-19 lockdown: Govt to districts - Business Standard https://t.co/qCS2K6LjYw &gt;&gt;&gt; ht…,,,,,,,
RT @midjulyguy: ????????? Wtf! Who gave them the right!?,,,,,,,
RT @niro60487270: Michigan Governor Gretchen Whitmer says she sees great potential in game changer hydroxychloroquine for treatment of covi…, #StayHome #StaySafe 💌,,,,,,
RT @hadysauce: On average @pastordmack preaches to more than 1100 people during Sunday services at @CornerstoneTX. But because of #COVID19,,,,,,,
RT @dochudson_: this is fucking bullshit, the surgeon general tells Chris Wallace.,,,,,,
